Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type,Year
1,451694,V451694,10000.0,2025-11-07,1,2025
2,803410,V803410,10000.0,2025-10-07,1,2025
3,497801,V497801,10000.0,2025-07-07,1,2025
4,114288,V114288,10000.0,2025-11-21,1,2025
5,644507,V644507,10000.0,2025-08-28,1,2025
6,356371,V356371,10000.0,2025-11-21,1,2025
7,608052,V608052,10000.0,2025-01-06,1,2025
8,385798,V385798,10000.0,2025-06-07,1,2025
9,840515,V840515,10000.0,2025-05-21,1,2025
10,647663,V647663,10000.0,2025-08-07,1,2025
11,834615,V834615,10000.0,2025-01-06,1,2025
12,61482,V61482,10000.0,2025-04-07,1,2025
13,359310,V359310,10000.0,2025-08-28,1,2025
14,673909,V673909,10000.0,2025-07-28,1,2025
15,703858,V703858,10000.0,2025-06-28,1,2025
16,762955,V762955,10000.0,2025-10-07,1,2025
17,906134,V906134,10000.0,2025-10-14,1,2025
18,797983,V797983,10000.0,2025-11-28,1,2025
19,673903,V673903,10000.0,2025-04-14,1,2025
20,65465,V65465,10000.0,2025-08-07,1,2025
21,181621,V181621,10000.0,2025-03-07,1,2025
22,114132,V114132,10000.0,2025-06-07,1,2025
23,509809,V509809,10000.0,2025-11-07,1,2025
24,822318,V822318,10000.0,2025-12-07,1,2025
25,288986,V288986,10000.0,2025-01-20,1,2025
26,591693,V591693,10000.0,2025-03-07,1,2025
27,546706,V546706,10000.0,2025-12-07,1,2025
28,25830,V25830,10000.0,2025-05-14,1,2025
29,996246,V996246,10000.0,2025-10-21,1,2025
30,141645,V141645,10000.0,2025-05-28,1,2025
31,360525,V360525,10000.0,2025-11-14,1,2025
32,382331,V382331,10000.0,2025-02-27,1,2025
33,93261,V93261,10000.0,2025-01-13,1,2025
34,617779,V617779,10000.0,2025-02-27,1,2025
35,115915,V115915,10000.0,2025-11-21,1,2025
36,95171,V95171,10000.0,2025-02-13,1,2025
37,341810,V341810,10000.0,2025-05-21,1,2025
38,127928,V127928,10000.0,2025-08-21,1,2025
39,737412,V737412,10000.0,2025-11-28,1,2025
40,956884,V956884,10000.0,2025-10-14,1,2025
